name,author,narrator,time,releasedate,language,stars,price,ratings
The Case of the Soldier's Ghost,"SteveBrezenoff,LisaK.Weber",anonymous,69,2022-03-16,English,0,211,0
The Teacher Who Forgot Too Much,"SteveBrezenoff,ChrisCanga",anonymous,37,2022-03-16,English,0,176,0
The Monster of Lake Lobo,"ScottNickel,EnriqueCorts",anonymous,6,2022-03-16,English,0,105,0
The Village That Almost Vanished,"SteveBrezenoff,ChrisCanga",anonymous,41,2022-03-16,English,0,176,0
The Case of the Missing Mom,"SteveBrezenoff,LisaK.Weber",anonymous,66,2022-03-16,English,0,211,0
The Cat Food Mystery,"GwendolynHooks,MikeByrne",anonymous,3,2022-03-16,English,0,93,0
The Wizard and the Wormhole,"LisaK.Weber,MichaelDahl",anonymous,80,2022-03-16,English,0,211,0
Prep Squadron,"ChrisEverheart,ArcanaStudio",anonymous,14,2022-03-16,English,0,140,0
A Nose for Danger,"BobTemple,SteveHarpster",anonymous,7,2022-03-16,English,0,105,0
An Unsinkable Ship,"SteveBrezenoff,ScottMurphy",anonymous,62,2022-03-16,English,0,199,0
The Prisoners of the Thirteenth Floor,"LisaK.Weber,MichaelDahl",anonymous,79,2022-03-16,English,0,211,0
Mixed Signals,"ChrisEverheart,ArcanaStudio",anonymous,15,2022-03-16,English,0,140,0
The Missing Monster Card,"LoriMortensen,RémySimard",anonymous,4,2022-03-16,English,0,93,0
Kids Against Hunger,"JonMikkelsen,NathanLueth",anonymous,15,2022-03-16,English,0,105,0
The Case of the Stolen Space Suit,"SteveBrezenoff,LisaK.Weber",anonymous,70,2022-03-16,English,0,211,0
"Le monde totalement à l'envers de Fanny - Tome 4 [The Totally Upside Down World of Fanny, Book 4]",RichardPetit,ElisabethGauthier-Pelletier,113,2022-03-21,french,0,389,0
"Le monde totalement à l'envers de Fanny - Tome 5 [The Totally Upside Down World of Fanny, Book 5]",RichardPetit,ElisabethGauthier-Pelletier,95,2022-03-21,french,0,389,0
The Ghost in the Third Row,BruceCoville,SophieGreen,162,2022-03-15,English,0,305,0
A to Z Mysteries Super Edition 12: Space Shuttle Scam,RonRoy,DavidPittu,121,2022-03-15,English,0,402,0
A to Z Mysteries Super Editions 9-12,RonRoy,DavidPittu,466,2022-03-15,English,0,1256,0
A to Z Mysteries Super Edition 1: Detective Camp,RonRoy,DavidPittu,109,2022-03-15,English,0,402,0
A to Z Mysteries Super Edition 7: Operation Orca,RonRoy,DavidPittu,105,2022-03-15,English,0,402,0
A to Z Mysteries Super Edition 14: Leopard on the Loose,RonRoy,DavidPittu,125,2022-03-15,English,0,402,0
Jackaby,WilliamRitter,NicolaBarber,441,2014-09-16,English,0,492,0
Goth Girl and the Ghost of a Mouse,ChrisRiddell,LucyBrown,151,2014-06-11,English,0,201,0
A to Z Mysteries: The School Skeleton,RonRoy,DavidPittu,61,2010-12-14,English,0,402,0
The Haunted House,AnnabelleSami,ZeniaStarr,212,2021-08-04,English,0,1063,0
Hide and Seeker,DakaHermon,CoreyAllen,476,2021-12-05,English,4,703,1
The Hidden Staircase,HollyWebb,EmilyWheaton,137,2021-01-05,English,0,1063,0
Djævelen i dammen,BentHaller,EmilGemmerSchultz,200,2021-06-07,danish,0,267,0
Pale Phoenix,KathrynReiss,RaquelBeattie,462,2021-06-22,English,0,703,0
Budbringerne,MargaretPetersonHaddix,GreteTulinius,481,2021-06-15,danish,0,468,0
Tots estimem l'Emma,ÁngelBurgas,NuriaSams,364,2021-06-21,catalan,0,307,0
Filmreife Falle,"Klaus-PeterWolf,BettinaGöschl",UveTeschner,71,2021-06-18,german,0,233,0
Agence TAC [TAC Agency],ÉmilieRivard,ElisabethGauthierPelletier,173,2021-01-07,french,0,338,0
The House on the Edge,AlexCotter,ImogenWilde,326,2021-01-07,English,0,493,0
A Dog Friendly Town,JosephineCameron,ChristopherGebauer,498,2021-06-07,English,0,820,0
Much Ado About Baseball,RajaniLaRocca,"ArianaDelawari,EddieLopez",429,2021-06-29,English,0,820,0
"Ali Cross: Like Father, Like Son",JamesPatterson,"ZenoRobinson,WayneCarr",256,2021-08-07,English,0,888,0
The House of Secret Treasure,KitaMitchell,DavidThorpe,322,2021-06-16,English,0,626,0
Mysteriet om den forsvundne kat,EnidBlyton,MikkelHansen,195,2019-11-19,danish,0,233,0
The Red Chipmunk Mystery,ElleryQueenJr.,TraberBurns,299,2015-07-17,English,0,702,0
Ulysses Moore,UlyssesMoore,MichaelPage,254,2008-10-17,English,0,585,0
Barking Up the Wrong Tree,PhilipArdagh,JillyBond,49,2018-12-03,English,0,664,0
Under the Egg,LauraMarxFitzgerald,JessicaAlmasy,354,2015-05-26,English,0,904,0
